Category,Topic,Law Granting Rights,Reference Law,Know Your Rights,How to Observe (Signs of Violation),How to Help Yourself,remark
Documents and Travel,Immigration,"The law that controls the entry, exit, and residency of foreigners in Thailand is the Immigration Act, B.E. 2522 (1979). It was created to update the previous, long-enforced law to be modern and suitable for the current situation, in which a large number of foreigners are entering the country. This is to maintain national security and public order.

This law covers everything from defining the qualifications and prohibited characteristics of those who may enter, to controlling entry and exit, and setting penalties for violations.

The Minister of Interior is responsible for the execution of this Act. There is also an Immigration Commission that performs duties under the law, such as considering the approval or revocation of permission for temporary stay in the Kingdom. The Immigration Bureau (IB) is the main agency responsible for its enforcement.",https://www.ratchakitcha.soc.go.th/DATA/PDF/2522/A/028/45.PDF,"• The right to request permission for residency (temporary entry) ◦ Foreigners may be permitted to stay in the Kingdom temporarily for specified purposes, such as diplomatic duties, official government duties, tourism, sports, business, investment, education, or media duties. ◦ The permitted period of stay in the Kingdom will be specified and will depend on the purpose of entry.

• The right to work ◦ If permitted to stay in the Kingdom temporarily, it is prohibited to engage in any profession or employment unless permission is granted by the Director-General or a competent official. ◦ If permission is granted, it must be in accordance with the law on the working of aliens.

• The right to appeal ◦ If an application for a residence permit in the Kingdom is not approved, or if the permission for a temporary stay in the Kingdom is revoked, you have the right to file an appeal with the Immigration Commission. ◦ If ordered to be deported out of the Kingdom, you have the right to appeal the order to the Minister.

• Rights during detention/custody ◦ In the event that a competent official finds a foreigner with prohibited characteristics for entry or who is not permitted to enter, the official may grant a temporary stay, requiring an application and setting a date, time, and place to be informed of the order. ◦ If a competent official detains a foreigner beyond the specified period, a request must be submitted to the court for permission to extend the detention. ◦ The court may order a temporary release on bail or with a guarantee.

• The right to reside with family ◦ Those who have the right to reside with family in Thailand must have a guardian, husband, wife, or child who holds Thai nationality.","• The employer says it is not necessary to report, claiming they can ""take care"" of it but requiring a monthly payment to ""clear"" things, even though you entered through correct documentation channels. • If you want to change jobs, it should be changed according to the law, not just by traveling to the new job. It might be illegal if you travel without travel documents. • You have the freedom to change jobs, leave the workplace, and change employers. • Regarding the seizure of documents, the most an employer is permitted to do is keep photocopies. • Violation of rights under the Immigration Act may occur when the actions of officials do not follow the procedures or limitations prescribed by law, or when you are accused of violating the law without a factual basis. • Being unfairly accused of having prohibited characteristics ◦ The law clearly specifies prohibited characteristics, such as not having valid travel documents, entering to perform manual labor without permission, having behavior that is a danger to society/security, having previously been imprisoned, or having specified diseases. ◦ If you are accused of having prohibited characteristics even though you have complete legal documents and do not have the specified behaviors, it may be considered an unfair act. • Detention that exceeds the time limit ◦ Competent officials have the authority to detain foreigners who are held under Section 25. ◦ If detention exceeds the period prescribed by law (which normally sets a limited detention period) without a request being submitted to the court for permission to extend the time, it may be a violation of rights. • Being prohibited from working despite having the right ◦ Foreigners who are permitted to stay temporarily can engage in a profession or employment if they receive permission from the Director-General or a competent official and comply with the law on the working of aliens. ◦ If you have received legal permission but are obstructed from working, it may be an issue that needs to be investigated. • Not being informed of the right to appeal ◦ If your permission for a temporary stay in the Kingdom is revoked, you should be informed of your right to appeal to the Commission. ◦ If the order is issued without informing [you] of the right or procedure to appeal, it may be a procedural lapse.",• In case documents are seized by the employer ◦ Go to the police station to file a report for criminal proceedings ◦ Notify the Provincial Ministry of Labour ◦ Notify the Labour Rights Promotion Network Foundation (LPN) • In case documents are lost ◦ Go to the police to file a report (make a daily record of the loss) to be used as a temporary substitute for the passport ◦ Take the loss report from the police to the embassy to make a new one.,
Documents and Travel,Permit Renewal,"According to the Emergency Decree on the Management of Foreigners' Working, B.E. 2560 (2017), foreign workers must have a work permit. They are prohibited from working in 40 occupations and from working in any job other than what is permitted. Violators face penalties including fines or imprisonment, and employers who hire workers illegally will also face penalties.",https://www.ratchakitcha.soc.go.th/DATA/PDF/2560/A/065/1.PDF,"• You must have a work permit ◦ The work you do must not be a prohibited occupation, and you must receive a ""work permit"" (license to work) from an official first. This work permit is valid for no more than 2 years. • Seizing your important documents is prohibited ◦ No one is allowed to seize your work permit or your important identification documents. Anyone who violates this faces imprisonment or a large fine. • Charging recruitment fees (""commission"") is prohibited ◦ Recruitment agencies (those licensed to bring in foreign workers) are prohibited from demanding or receiving money or any other assets from you for job placement. ◦ Employers (those who bring you to work for them) are prohibited from demanding or receiving money or any assets from you for coming to work. • The right to receive assistance when exploited ◦ You have the right to receive assistance from ""the Fund"" if you are abused by an employer in violation of labor laws. • The right to claim a security deposit refund ◦ If you previously had wages deducted to be submitted to the Fund under the former law (B.E. 2551), and you returned to your home country at your own expense, you have the right to receive the deducted money back within 2 years from the date of departure. • The right to claim compensation ◦ If you suffer damages because an employer or recruitment agency fails to perform their duties (e.g., does not send you back to your country of origin), you can file a petition with the official (Director-General) to request a deduction from the security deposit they placed, to compensate you for the damages. • You can change jobs in some cases ◦ If you leave a job because the employer terminated you without reasonable cause, the employer is unable to continue the business, or you resigned because the employer breached the employment contract or broke the law, you can change to a new employer. You must start with the new employer within 15 days from the date you stopped working for the original employer.","• You must have a work permit ◦ The employer or a related person seizes your work permit or important identification documents ◦ Penalty: imprisonment for not more than 6 months, or a fine of not more than 100,000 Baht, or both. • Being illegally charged money ◦ The employer demands money or any assets from you in exchange for letting you work, OR a recruitment agency demands money or assets from you ◦ Severe penalty (imprisonment for not more than 6 months or 1 year, and a fine of several times the amount collected) • Working not in accordance with the conditions ◦ You are ordered to perform work that is different from the job, employer, area, or conditions specified in the work permit, without having received permission to change from an official. ◦ Penalty: a fine of not more than 100,000 Baht. • Working without a work permit ◦ You are working without a work permit, or working in an occupation that the Minister has prohibited for foreigners. ◦ Penalty: a fine of not more than 100,000 Baht. • Being deceived ◦ Someone deceives you by claiming they can bring you to work or find a job for you, and then demands money or assets from you. ◦ Penalty: imprisonment from 3 years to 10 years, or a fine from 600,000 Baht to 1,000,000 Baht, per worker.","• Taking care of yourself and your documents ◦ Always carry your work permit with you: You must have the ""work permit"" with you, or at your workplace where you can show it to an official immediately. Failure to do so may result in a fine of not more than 10,000 Baht. ◦ If the work permit is lost/damaged: You must file a request for a new work permit (a replacement) from an official within 15 days from the date you knew it was lost or damaged. ◦ If you want to change jobs/change employers/change work area: You must file a request for permission from an official before you can change the type of work, employer, locality, or working conditions. • Exercising your rights to claims and legal defense ◦ Claiming from the security deposit of the employer/recruitment agency: If you suffer damages because the employer or recruitment agency refuses to send you back to your country of origin, or commits other offenses, you can file a petition with the official (Director-General) to request the use of the ""security deposit"" they have placed to compensate you for the damages. ◦ Filing for reconsideration (Appeal): If an official (the Registrar) issues an unfair order, such as not granting a work permit or canceling your work permit, you have the right to file for reconsideration by the Minister within 30 days from the date you were informed of the order. The Minister's decision is final. ◦ Use the Labour Court: Any disputes concerning rights, duties, or labor relations between you and your employer or recruitment agency fall under the jurisdiction of the Labour Court for trial. ◦ If you are a victim of human trafficking: Although working without a permit carries penalties, those penalties shall not apply to foreign workers who are victims of human trafficking. You should therefore seek help according to relevant laws (the laws on the prevention and suppression of human trafficking). • Contact the Labour Rights Promotion Network Foundation (LPN) for assistance in these matters.",
Documents and Travel,Human Trafficking during Travel,"According to the Anti-Trafficking in Persons Act, B.E. 2560 (2017) (No. 3), the law specifies that ""the law designates the travel and movement of persons as a key element of the offense of human trafficking."" This refers to the act of ""bringing from or sending to any place,"" which constitutes the movement of a person.

This is considered one of the ""acts"" in the elements of the human trafficking offense, as stipulated in Section 6 of this Act.

Trafficking during transit is the movement or transportation of a person (bringing from or sending to any place) by means of force, threat, deception, etc., with the intent to subsequently exploit [them] unlawfully.",https://www.ratchakitcha.soc.go.th/DATA/PDF/2562/A/045/T_0001.PDF,"• Traveled according to the agreed-upon method and entered through legal channels, such as a permanent checkpoint, not hidden or using natural (unofficial) routes. • Travel costs should be at market price, not overly expensive, and without significant add-ons. • Aware of the exact duration and clarity of the route. • Able to refuse travel that does not match what was agreed upon.","• Diverted from the route; not knowing the final destination. • Being told not to communicate or talk during the journey. • Phone seized, documents seized, having a hidden/secretive character, not using official border crossing channels. • Unable to refuse the journey. • The use of various methods such as intimidation, use of force, abduction, fraud, or deception. • The person transporting [you] has weapons. • Frequent changes in the mode of transportation. • Being told to hide or conceal oneself during the journey, being locked up, lack of air to breathe. • The vehicle has no license plate or the plate is covered.","• Before traveling, prepare evidence to leave with or send to relatives/parents to use for tracking later ◦ Photocopy or take photos of important documents ◦ Your own travel route ◦ Study the route before traveling ◦ Memorize the vehicle registration number ◦ Memorize the appearance (physical description) of the person transporting [you], such as: sex, age, build, face shape, hairstyle, distinguishing marks on the face or body, tattoos, birthmarks, or scars • During the journey ◦ Take photos of rest stops and important places you pass; send them to your family to use for tracking ◦ Save the location coordinates • If you find anything abnormal, contact ◦ The Labour Rights Promotion Network Foundation (LPN)",
Work and Welfare,Wages / OT,"According to the Labour Protection Act, B.E. 2541 (1998), labor rights are not restricted based on nationality. The definition of ""employee"" in Section 15 does not specify that they must be Thai.

Therefore, migrant workers who are working legally receive the exact same protections as Thai workers, without discrimination based on sex or race.",https://www.ratchakitcha.soc.go.th/DATA/PDF/2541/A/008/1.PDF ,"• Have the right to receive the minimum wage as prescribed by law, depending on the province where you are located. You can see it here: https://www.mol.go.th/%E0%B8%AD%E0%B8%B1%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3 • Receive overtime pay (OT) ◦ If working in excess of normal working hours (exceeding 8 hours per day or 48 hours per week), you must receive overtime pay of at least 1.5 times the hourly wage, or at the rate prescribed by law. • Receive compensation for working on holidays, e.g., weekly holidays, traditional public holidays ◦ Employees entitled to receive wages on holidays (e.g., monthly employees): If working on a holiday, will receive holiday pay of an additional 1 time the normal workday wage (totaling 2 times). ◦ Employees not entitled to receive wages on holidays (e.g., daily wage employees): If working on a holiday, will receive holiday pay of no less than 2 times the normal workday wage. ◦ In the case of working overtime on a holiday: will receive overtime pay increased to 3 times the hourly wage rate for the hours worked in excess of normal time. • Severance pay ◦ Severance pay is money that the employer must pay to the employee upon termination. The rate varies according to the length of service, calculated from the ""final wage rate"" multiplied by the number of days based on length of service. ◦ Severance pay rates under labor law depend on the length of service, as follows: ▪ Worked 120 days but less than 1 year: paid equal to 30 days of the final wage rate. ▪ Worked 1 year but less than 3 years: paid equal to 90 days of the final wage rate. ▪ Worked 3 years but less than 6 years: paid equal to 180 days of the final wage rate. ▪ Worked 6 years but less than 10 years: paid equal to 240 days of the final wage rate. ▪ Worked 10 years but less than 20 years: paid equal to 300 days of the final wage rate. ▪ Worked 20 years or more: paid equal to 400 days of the final wage rate. ◦ Cases where the employee does ""not receive"" severance pay: ▪ Voluntary resignation ▪ Committing fraud or a criminal offense ▪ Intentionally causing damage to the employer ▪ Abandoning duties for 3 consecutive days without reasonable cause • Payment in lieu of advance notice ◦ Payment in lieu of advance notice under labor law is money an employer must pay an employee when terminating them without the required advance notice (or paying wages instead of giving notice). The employee's right is to receive this payment in an amount equal to one wage payment period. (e.g., if paid monthly, they must receive 1 month's wage). If the employer terminates abruptly without giving notice of at least 1 payment period, the employee has the right to claim this payment by law. ◦ Receive wages in lieu of advance notice: If the employer terminates without advance notice as required by law (which is at least 1 wage payment period). ◦ Have the right to claim payment in lieu of advance notice. ◦ Exceptions: The employer does not have to pay in lieu of notice if the employee is terminated for fraud in their duties or other serious misconduct as specified in the Labour Protection Act.","• Not paying wages when the payment period is due. • No evidence of employment, and the employee cannot verify it. • An employment contract that violates labor laws. • Deducting money for items not specified in the law. ◦ Deductions required by law: ▪ Income tax according to the law. ▪ Union fees according to regulations. ◦ Deductions made with the employee's consent: ▪ Debts to a savings cooperative or other similar cooperative. ▪ Security deposit, or damages for offenses committed by the employee intentionally or with gross negligence. ▪ Accumulated funds according to a provident fund agreement. ▪ Other expenses to which the employee has consented in writing, such as uniform costs or damages for not working according to the contract.","• Ask the employer for the reason or investigate why the wage was not paid. • Gather evidence, such as slips, employment contracts, receipts, conversation history, and overtime records. • Notify or consult the labour inspector in the province by calling 1546 or contact the Provincial Office of Labour Protection and Welfare. • Or call 1506 press 3, the Ministry of Labour hotline (Department of Labour Protection). • Contact the Labour Rights Promotion Network Foundation (LPN) to help verify the facts and file a complaint.",
Work and Welfare,Social Security / Compensation,"According to the Social Security Act, B.E. 2533 (1990), migrant workers who are legally employed have the same rights as Thai workers. They must pay a contribution of 5% of their wages (not exceeding 750 Baht/month), and the employer contributes an equal amount. The employer must register the employee within 30 days; failure to do so is an offense.

If the worker experiences danger, illness, disability, or death from work, they will receive rights from the Workmen's Compensation Fund, according to the Workmen's Compensation Act, B.E. 2537 (1994), for which the employer is the sole contributor.",https://www.ratchakitcha.soc.go.th/DATA/PDF/2533/A/161/1.PDF ; https://www.ratchakitcha.soc.go.th/DATA/PDF/2537/A/028/3.PDF,"• Rights under Social Security ◦ Receive free medical treatment ◦ Receive maternity benefits and childbirth allowance for work cessation ◦ Receive income replacement and medical expenses in case of disability ◦ Receive child allowance for child-rearing from birth up to 6 years of age (maximum 3 children) ◦ Receive a lump-sum gratuity (pension) or old-age pension upon retirement ◦ Receive income replacement during unemployment • Rights under the Workmen's Compensation Fund ◦ Medical expenses, if injured or ill from work ◦ Income replacement, in case of work cessation due to danger or illness from work ◦ Rehabilitation expenses, if necessary for physical or occupational rehabilitation ◦ Funeral allowance and compensation, in case the employee dies from work","• The employer refuses to register for Social Security.
• Deducting more than 750 Baht for Social Security.
• Deducting Social Security without a receipt or not showing it on the payslip.
• The employer does not submit contributions to the Workmen's Compensation Fund.","• Check your Social Security rights ◦ Check receipts or payslips to see if Social Security has been deducted. ◦ Via the SSO Connect or SSO Plus+ application ▪ For foreign workers using the SSO Plus+ app, you may need to use ""Visitor"" mode, as the system might require scanning a Thai ID card. ◦ By calling the hotline 1506; some staff may be able to provide service in foreign languages, such as Burmese or Cambodian. • In case you cannot use your Social Security or Workmen's Compensation Fund rights ◦ Contact the Labour Rights Promotion Network Foundation (LPN) to help verify the facts and file a complaint. ◦ Contact the Social Security Office in the area where you work.",
Work and Welfare,Work Safety,"According to the Labour Protection Act, B.E. 2541 (1998) and the Occupational Safety, Health and Environment Act, B.E. 2554 (2011), the employer has a duty to provide equipment and a working environment that is safe and hygienic for the employee.",https://www.ratchakitcha.soc.go.th/DATA/PDF/2541/A/008/1.PDF ; https://prt.parliament.go.th/server/api/core/bitstreams/ac34b2e7-c08b-4980-be6d-20c537d3eba5/content,"• To be in safe working conditions ◦ The employer has a duty to provide a workplace and a working environment that is safe and hygienic. • Receive Personal Protective Equipment (PPE) for free ◦ The employer must provide PPE that is appropriate for the nature of the work and meets standards to employees, such as safety helmets, safety glasses, gloves, safety shoes, hearing protection, or chemical-resistant masks, free of charge. • Receive information and advice about dangers in the workplace ◦ The employer must provide information about potential hazards in the workplace, prevention methods, and safe work procedures to employees in a complete and easy-to-understand manner. • Receive safety training ◦ Training on safety, occupational health, and the working environment must be provided to employees, especially new employees or employees who work with hazardous machinery or chemicals, to ensure they have the knowledge and skills to work safely. • Have the right to refuse unsafe work ◦ If an employee believes that the assigned work may cause danger to the life, body, mind, or health of themselves or others, and has reasonable cause to believe it is unsafe, the employee has the right to inform the employer and refuse that work. The employee shall not be terminated, punished, or subjected to any adverse action. • The right to receive compensation and medical expenses from the Workmen's Compensation Fund • Participate in the Occupational Safety, Health, and Environment Committee (คปอ. / OSH Committee) ◦ Establishments with 50 or more employees must establish an OSH Committee. It has important duties in managing and promoting workplace safety, consisting of representatives from 3 parties: the employer, employees, and the Safety Officer (จป.). • The right to receive health examinations ◦ Health examinations must be provided for employees according to work-related risks, especially work involving chemicals, dust, loud noise, or other risk factors as prescribed by law. ""Work related to risk factors"" as defined by Ministerial Regulation means: ▪ Hazardous chemicals, as specified by the Director-General (e.g., organic solvents, gases, dust/fumes/metal powders, other chemical groups) ▪ Pathogenic microorganisms, which may be viruses, bacteria, fungi, or other biological agents ▪ Radiation ▪ Heat, cold, vibration, atmospheric pressure, light, or noise ▪ Other environmental conditions that may be harmful to the employee's health, such as cotton dust, wood dust, smoke/fumes from combustion • Required health examinations ◦ The first examination: to be completed within 30 days from the date the employee is hired. ◦ Subsequent examinations: at least once a year.","•There is unusual noise, smell, chemicals, or dust. •There are no danger signs or safety equipment, such as fire extinguishers. •There is no regular safety training provided. •Protective equipment or PPE, such as safety helmets, masks, or gloves, is not appropriate or is insufficient. •There is no Safety Officer (จป.) present.","• Take photos of unsafe working conditions, gather information. • File a complaint with the Department of Labour Protection and Welfare, call 1506 press 3 (you can request to remain anonymous). • Contact the Labour Rights Promotion Network Foundation (LPN) to help verify the facts and file a complaint.",
Work and Welfare,Human Trafficking at Work,"According to the Anti-Trafficking in Persons Act, B.E. 2560 (2017) (No. 3), its main objectives are to increase the efficiency of anti-human trafficking prevention and suppression by:

• Amending and adding to the meaning of the terms ""exploitation"" and ""forced labour or service"" to be clearer and more comprehensive (Sections 3, 4).

• Adjusting the criminal base and penalties for human trafficking offenses, especially in cases committed against children, disabled persons, or persons with mental impairment, to carry heavier penalties (Sections 6, 7).

• Adding a new criminal base for those who procure or accept a child under fifteen years of age to perform work or services that are seriously harmful to their body or mind (Section 8).

• Amending matters related to claiming compensation (damages) arising from the commission of a human trafficking offense (mentioned in the notes).

In summary: It is an intensification of the previous law to protect victims and punish human trafficking offenders decisively, emphasizing the protection of children and those in vulnerable situations.",https://www.ratchakitcha.soc.go.th/DATA/PDF/2560/A/012/19.PDF,"• Not be forced, intimidated, threatened, or have force used against you. • Not be forced to work involuntarily. • Able to keep documents with yourself. ◦ Seizing documents is considered one method of human trafficking. An employer or anyone else has no right to seize or keep your Passport, Work Permit, or other important personal documents. • Receive fair wages and not be in debt bondage. ◦ Have the right to receive wages no less than the legally prescribed minimum wage rate, and receive other compensation such as overtime pay and holiday pay, in full and on time. Not be forced to work excessively or in unsafe conditions. • Not be detained or have communication cut off. ◦ Able to freely contact family, friends, or outside persons. Able to enter and exit the workplace or accommodation freely, without being detained, confined, or having movement restricted. • Able to request help from outside. ◦ If you suspect that you or others are being trafficked, you have the right to immediately request assistance, without fear of being punished or deported, even if you do not have documents or entered the country illegally.","• The employer keeps our documents (unless the documents are in the process of being renewed by the employer). • Not receiving wages, receiving less than agreed, or receiving them unusually late. • Being forced to work more than 8 hours without OT and without holidays/rest days. • There is physical intimidation or assault in the workplace. • The workplace is locked. • Excessive deductions are made for various things, leading to debt. • Prohibited from contacting outsiders.","• Gather preliminary evidence, such as: ◦ Payslips, company name (can take photos) ◦ Photos of the face or name of the person who physically assaulted [you] ◦ Signs or symbols used to threaten, force, or prohibit ◦ Collect evidence of assault, such as wound marks • Contact [for] assistance ◦ Contact the Labour Rights Promotion Network Foundation (LPN) to help verify the facts and file a complaint ◦ Call 191 (Police) ◦ Call 1300 (Social Assistance Center) ◦ Call 1191 (Anti-Human Trafficking Division) ◦ Call 02-831-9888 (Department of Special Investigation - DSI)",
Family and Community Life,Education,"According to the Compulsory Education Act, B.E. 2545 (2002), all children have the right to receive an education, including the children of migrant workers. And according to the Cabinet resolution dated July 5, 2548 (2005), children who do not have nationality, civil registration, or any documents still have the right to enroll in state schools.",https://www.srb1.go.th/wp-content/uploads/2024/06/%E0%B8%9E.%E0%B8%A3.%E0%B8%9A.-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A8%E0%B8%B6%E0%B8%81%E0%B8%A9%E0%B8%B2%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B8%84%E0%B8%B1%E0%B8%9A-%E0%B8%9E.%E0%B8%A8.-2545.pdf,"• Age 5 and up can enroll in state schools. • Free education for 15 years ◦ Have the right to free education according to the government's 15-year free education policy, which covers tuition fees, textbooks, learning materials, and school uniforms. • Receive per-capita subsidy allocation ◦ Schools that enroll children of migrant workers will receive a per-capita (per-head) subsidy allocation, the same as when enrolling Thai children.","• The school demands money.
• The school refuses enrollment.","• If you have never attended school before, the school will request evidence to verify your identity and educational history, requesting in the following order: ◦ 1. Birth Certificate (Sutibat) – if you have one, please present it. ◦ 2. If you do not have a birth certificate, use other evidence instead, such as: ▪ Certificate of Birth ▪ ID Card ▪ Copy of house registration from the head of household ▪ Or equivalent documents issued by a government agency. ◦ 3. If you have neither a birth certificate nor the documents in item 2, use documents issued by a government agency or documents that the Ministry of Education has permitted for use as a substitute. ◦ 4. If you have no evidence as per items 1–3, have a parent, guardian (caregiver), or a non-governmental organization help write a personal history record on the form provided by the school, to be used as educational evidence. ◦ 5. If no one can help write the record as per item 4, the school will ask for your history directly or ask relevant persons, such as neighbors or acquaintances, to record the information on the specified form, to be used as educational evidence. Using the form from here: https://edudev.in.th/web/wp-content/uploads/2022/05/%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B8%8C%E0%B8%A1%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%B6%E0%B8%81%E0%B9%81%E0%B8%88%E0%B9%89%E0%B8%87%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B8%9A%E0%B8%B8%E0%B8%84%E0%B8%84%E0%B8%A5.pdf` ◦ Note: The school will provide the utmost assistance and convenience for those without complete documents. Just show up and provide truthful information. • If the school refuses enrollment ◦ Request the school to provide the reason in writing. ◦ Contact organizations that can help: ▪ Provincial Education Office ▪ National Human Rights Commission, Tel. 02-141-3800 ▪ Labour Rights Promotion Network Foundation (LPN) ▪ Call 1300, Social Assistance Center (OSCC)",
Family and Community Life,Child Protection,"According to the Child Protection Act, B.E. 2546 (2003), all children are protected with wide-ranging rights and welfare. As for the matter of child labor, it falls under the Labour Protection Act, B.E. 2541 (1998), which clearly defines the age and working conditions for children.",https://drive.google.com/file/d/1v8v26RLskxkdh4uiGGTCRs-AjqZgNrG9/view,"• Not allowed to work at night (10:00 PM – 6:00 AM) • Receive the minimum wage • Not be subjected to forced labor • Not be used as a tool to commit offenses • Prohibited to hire children under 15 years of age • Children under 18 years of age are prohibited from working more than 8 hours per day or 48 hours per week, even with OT. • Prohibited from doing work that is hazardous to children: ◦ Work involving smelting, blowing, casting, or rolling metal ◦ Metal stamping work ◦ Work related to heat, cold, vibration, noise, and light at levels differing from normal that may be hazardous (as specified in ministerial regulations) ◦ Work related to hazardous chemicals (as specified in ministerial regulations) ◦ Work that must be done underground, underwater, in caves, in tunnels, or in mountain shafts ◦ Work related to radiation ◦ Work operating or controlling machinery or engines ◦ Work related to machinery or engines that may be dangerous ◦ Work that must be done on scaffolding ten meters or more above the ground ◦ Work producing or transporting explosives or flammable materials ◦ Other work as specified in ministerial regulations (There are ministerial regulations specifying additional prohibited jobs) • Prohibited for children to work in certain types of establishments: ◦ Slaughterhouses ◦ Gambling establishments ◦ Dance halls, Ram Wong, or Rong-Ngeng establishments ◦ Establishments selling and serving food, liquor, tea, or other beverages, with attendants for serving customers, or with places for resting/sleeping, or providing massage services to customers ◦ Other places as specified in ministerial regulations • When hiring a child, must notify the Provincial Office of Labour Protection and Welfare within 15 days. • Prohibited to pay a child's wages to anyone else, except their parents.","• Working after 10 PM • Ask for the exact date of birth (day, month, year) • Working more than 8 hours • Unsuitable type of work and location • See if they show signs of fearing the employer, being terrified • Cannot contact family/guardians • Phone seized • No employment contract • Claiming the child volunteered to work • Check physical condition, e.g., sleep-deprived, starved, beaten • Ask if they are being threatened","• Labour Rights Promotion Network Foundation (LPN) ◦ Temporary shelter ◦ Interpreters ◦ Coordination with government agencies • Call Hotline 1300 (Social Assistance Center) ◦ Temporary shelter ◦ Social workers available for consultation ◦ Psychiatrists available for consultation ◦ Referral to a hospital • Gather evidence (as much as possible and safe): take photos, save text messages • If you witness physical assault, call 191 (Police) immediately.",
Family and Community Life,Domestic Violence,"According to the Protection of Victims of Domestic Violence Act, B.E. 2550 (2007), those who are harmed, whether they are Thai workers or migrant workers, are protected. This law covers physical abuse (e.g., hitting, punching), mental abuse (e.g., verbal abuse, insults, threats, controlling freedom), as well as other forms of domestic violence such as sexual coercion, withholding money, abandonment, or unlawful confinement.",https://jvnc.coj.go.th/pdf/web/viewer.html?file=/th/file/get/file/201809258ce829e8e9ae3327bbe135699682093e220709.PDF,"• When violence occurs, the victim has the right to immediate assistance. ◦ Anyone who witnesses or knows of an act of domestic violence has a duty to report it to a competent official (police, administrative officer), regardless of the victim's nationality. • Request the court to issue a protection order for the victim. ◦ The victim, their representative, their legal representative, or a competent official/prosecutor has the right to file a petition with the Juvenile and Family Court to issue a ""Protection Order"" as a temporary measure to prevent repeated abuse. Examples of protection measures: • Prohibit the perpetrator from approaching the victim. • Prohibit the perpetrator from entering the victim's residence. • Order the perpetrator to leave the residence temporarily. • Prohibit intimidation, threats, or assault. • Order the payment of maintenance or medical expenses. • Receive physical and mental rehabilitation. • Receive support for basic necessities, such as food, temporary shelter, and psychological experts. • The right to take legal action. • The right to access services from government agencies and private organizations.","• Observations of people around you who are experiencing domestic violence ◦ Bruises, wounds, burns ◦ Trying to hide injuries, wearing turtleneck shirts, or coverings ◦ Requesting sick leave or being absent from work unusually often ◦ Easily startled, frightened, paranoid, not relaxed ◦ Unable to access their own money ◦ Denying that anything is wrong, even when it is obvious there is a problem","• Labour Rights Promotion Network Foundation (LPN) ◦ Temporary shelter ◦ Interpreters ◦ Coordination with government agencies • Call Hotline 1300 (Social Assistance Center) ◦ Temporary shelter ◦ Social workers available for consultation ◦ Psychiatrists available for consultation ◦ Referral to a hospital • Gather evidence (as much as possible and safe): take photos, save text messages • If you witness physical assault, call 191 (Police) immediately.",
